x	y	z	vz
-572.526	-468.939	-182.87	-6.034
-571.648	-467.678	-183.0	-5.99
-570.771	-466.415	-183.126	-5.945
-569.893	-465.15	-183.249	-5.901
-569.016	-463.885	-183.368	-5.856
-568.138	-462.618	-183.484	-5.811
-567.261	-461.35	-183.597	-5.766
-566.383	-460.081	-183.706	-5.721
-565.506	-458.811	-183.812	-5.676
-564.628	-457.539	-183.915	-5.631
-563.751	-456.266	-184.014	-5.586
-562.873	-454.992	-184.109	-5.54
-561.996	-453.716	-184.201	-5.494
-561.118	-452.439	-184.29	-5.449
-560.241	-451.161	-184.375	-5.403
-559.363	-449.882	-184.457	-5.357
-558.486	-448.602	-184.535	-5.311
-557.608	-447.32	-184.61	-5.265
-556.731	-446.037	-184.681	-5.219
-555.853	-444.753	-184.749	-5.172
-554.976	-443.467	-184.814	-5.126
-554.098	-442.18	-184.874	-5.079
-553.221	-440.892	-184.932	-5.032
-552.343	-439.603	-184.985	-4.986
-551.466	-438.312	-185.036	-4.939
-550.588	-437.021	-185.082	-4.892
-549.711	-435.728	-185.125	-4.845
-548.833	-434.433	-185.165	-4.798
-547.956	-433.138	-185.201	-4.75
-547.078	-431.841	-185.233	-4.703
-546.2	-430.543	-185.262	-4.656
-545.323	-429.244	-185.287	-4.608
-544.445	-427.943	-185.309	-4.561
-543.568	-426.641	-185.327	-4.513
-542.69	-425.338	-185.341	-4.465
-541.813	-424.034	-185.352	-4.417
-540.935	-422.728	-185.359	-4.369
-540.058	-421.421	-185.363	-4.321
-539.18	-420.113	-185.363	-4.273
-538.303	-418.804	-185.359	-4.225
-537.425	-417.493	-185.352	-4.177
-536.548	-416.181	-185.341	-4.129
-535.67	-414.868	-185.326	-4.08
-534.793	-413.554	-185.308	-4.032
-533.915	-412.238	-185.286	-3.983
-533.038	-410.921	-185.261	-3.935
-532.16	-409.603	-185.232	-3.886
-531.283	-408.284	-185.199	-3.837
-530.405	-406.963	-185.162	-3.788
-529.528	-405.641	-185.122	-3.739
-528.65	-404.318	-185.078	-3.69
-527.773	-402.994	-185.031	-3.641
-526.895	-401.668	-184.979	-3.592
-526.018	-400.341	-184.924	-3.543
-525.14	-399.013	-184.866	-3.494
-524.263	-397.684	-184.804	-3.445
-523.385	-396.353	-184.738	-3.396
-522.508	-395.021	-184.668	-3.346
-521.63	-393.688	-184.595	-3.297
-520.753	-392.353	-184.517	-3.247
-519.875	-391.018	-184.437	-3.198
-518.998	-389.681	-184.352	-3.148
-518.12	-388.343	-184.264	-3.099
-517.243	-387.003	-184.172	-3.049
-516.365	-385.662	-184.077	-2.999
-515.488	-384.32	-183.977	-2.95
-514.61	-382.977	-183.874	-2.9
-513.733	-381.633	-183.767	-2.85
-512.855	-380.287	-183.657	-2.8
-511.978	-378.94	-183.543	-2.751
-511.1	-377.592	-183.425	-2.701
-510.223	-376.242	-183.303	-2.651
-509.345	-374.892	-183.178	-2.601
-508.468	-373.54	-183.049	-2.551
-507.59	-372.186	-182.916	-2.501
-506.713	-370.832	-182.78	-2.451
-505.835	-369.476	-182.64	-2.401
-504.958	-368.119	-182.496	-2.351
-504.08	-366.761	-182.348	-2.3
-503.203	-365.401	-182.197	-2.25
-502.325	-364.04	-182.042	-2.2
-501.448	-362.678	-181.883	-2.15
-500.57	-361.315	-181.721	-2.1
-499.693	-359.951	-181.554	-2.05
-498.815	-358.585	-181.384	-1.999
-497.938	-357.218	-181.211	-1.949
-497.06	-355.849	-181.034	-1.899
-496.183	-354.48	-180.853	-1.849
-495.305	-353.109	-180.668	-1.798
-494.428	-351.737	-180.479	-1.748
-493.55	-350.364	-180.287	-1.698
-492.673	-348.989	-180.091	-1.648
-491.795	-347.613	-179.892	-1.597
-490.918	-346.236	-179.689	-1.547
-490.04	-344.858	-179.482	-1.497
-489.163	-343.478	-179.271	-1.447
-488.285	-342.098	-179.057	-1.396
-487.408	-340.715	-178.839	-1.346
-486.53	-339.332	-178.617	-1.296
-485.653	-337.947	-178.392	-1.246
-484.775	-336.562	-178.163	-1.195
-483.898	-335.175	-177.93	-1.145
-483.02	-333.786	-177.694	-1.095
-482.143	-332.397	-177.454	-1.045
-481.265	-331.006	-177.21	-0.995
-480.388	-329.614	-176.963	-0.945
-479.51	-328.22	-176.712	-0.894
-478.633	-326.826	-176.457	-0.844
-477.755	-325.43	-176.199	-0.794
-476.878	-324.032	-175.937	-0.744
-476.0	-322.634	-175.672	-0.694
-475.122	-321.234	-175.402	-0.644
-474.245	-319.834	-175.13	-0.594
-473.367	-318.431	-174.853	-0.544
-472.49	-317.028	-174.573	-0.495
-471.612	-315.623	-174.289	-0.445
-470.735	-314.217	-174.002	-0.395
-469.857	-312.81	-173.711	-0.345
-468.98	-311.402	-173.417	-0.295
-468.102	-309.992	-173.119	-0.246
-467.225	-308.581	-172.817	-0.196
-466.347	-307.169	-172.512	-0.147
-465.47	-305.755	-172.203	-0.097
-464.592	-304.341	-171.891	-0.048
-463.715	-302.925	-171.575	0.002
-462.837	-301.508	-171.255	0.051
-461.96	-300.089	-170.932	0.101
-461.082	-298.669	-170.606	0.15
-460.205	-297.248	-170.276	0.199
-459.327	-295.826	-169.942	0.248
-458.45	-294.403	-169.605	0.297
-457.572	-292.978	-169.264	0.346
-456.695	-291.552	-168.92	0.395
-455.817	-290.125	-168.572	0.444
-454.94	-288.696	-168.221	0.493
-454.062	-287.267	-167.866	0.542
-453.185	-285.836	-167.508	0.591
-452.307	-284.403	-167.146	0.639
-451.43	-282.97	-166.781	0.688
-450.552	-281.535	-166.413	0.736
-449.675	-280.099	-166.041	0.785
-448.797	-278.662	-165.665	0.833
-447.92	-277.223	-165.286	0.881
-447.042	-275.783	-164.904	0.929
-446.165	-274.342	-164.518	0.978
-445.287	-272.9	-164.129	1.026
-444.41	-271.457	-163.736	1.073
-443.532	-270.012	-163.34	1.121
-442.655	-268.566	-162.941	1.169
-441.777	-267.118	-162.538	1.217
